,0
0,21083
1,21084
2,21085
3,21086
4,21087
5,21088
6,21089
7,21090
8,21091
9,21092
10,21093
11,21094
12,21095
13,21096
14,21097
15,21098
16,21099
17,21100
18,21101
19,21102
20,21103
21,21104
22,21105
23,21106
24,21107
25,21108
26,21109
27,21110
28,21111
29,21112
30,21113
31,21114
32,21115
33,21116
34,21117
35,21118
36,21119
37,21120
38,21121
39,21122
40,21123
41,21124
42,21125
43,21126
44,21127
45,21128
46,21129
47,21130
48,21131
49,21132
50,21133
51,21134
52,21135
53,21136
54,21137
55,21138
56,21139
57,21140
58,21141
59,21142
60,21143
61,21144
62,21145
63,21146
64,21147
65,21148
66,21149
67,21150
68,21151
69,21152
70,21153
71,21154
72,21155
73,21156
74,21157
75,21158
76,21159
77,21160
78,21161
79,21162
80,21163
81,21164
82,21165
83,21166
84,21167
85,21168
86,21169
87,21170
88,21171
89,21172
90,21173
91,21174
92,21175
93,21176
94,21177
95,21178
96,21179
97,21180
98,21181
99,21182
100,21183
101,21184
102,21185
103,21186
104,21187
105,21188
106,21189
107,21190
108,21191
109,21192
110,21193
111,21194
112,21195
113,21196
114,21197
115,21198
116,21199
117,21201
118,21202
119,21203
120,21204
121,21205
122,21206
123,21207
124,21208
125,21209
126,21210
127,21211
128,21212
129,21213
130,21214
131,21215
132,21216
133,21217
134,21218
135,21219
136,21220
137,21221
138,21222
139,21223
140,21224
141,21225
142,21226
143,21227
144,21228
145,21229
146,21230
147,21231
148,21232
149,21233
150,21234
151,21235
152,21236
153,21237
154,21238
155,21239
156,21240
157,21241
158,21242
159,21243
160,21244
161,21245
162,21246
163,21247
164,21248
165,21249
166,21250
167,21251
168,21252
169,21253
170,21254
171,21255
172,21256
173,21257
174,21258
175,21259
176,21260
177,21261
178,21262
179,21263
180,21264
181,21265
182,21266
183,21267
184,21268
185,21269
186,21270
187,21271
188,21272
189,21273
190,21274
191,21275
192,21276
193,21277
194,21278
195,21279
196,21280
197,21281
198,21282
199,21283
200,21284
201,21285
202,21286
203,21287
204,21288
205,21289
206,21290
207,21291
208,21292
209,21293
210,21294
211,21295
212,21296
213,21297
214,21298
215,21299
216,21300
217,21301
218,21302
219,21303
220,21304
221,21305
222,21306
223,21307
224,21308
225,21309
226,21310
